[218, 224, 221]
[214, 220, 220]
[208, 217, 219]
[202, 212, 216]
[199, 209, 214]
[200, 209, 214]
[202, 209, 214]
[204, 210, 214]
[204, 209, 215]
[199, 204, 212]
[186, 194, 205]
[173, 182, 198]
[155, 166, 186]
[133, 145, 168]
[120, 131, 153]
[123, 133, 153]
[144, 152, 168]
[157, 163, 174]
[173, 177, 186]
[183, 187, 193]
[186, 191, 198]
[181, 187, 194]
[172, 179, 189]
[160, 169, 182]
[152, 162, 178]
[144, 153, 175]
[137, 148, 173]
[131, 142, 169]
[117, 131, 159]
[108, 125, 151]
[97, 115, 139]
[89, 107, 128]
[93, 111, 132]
[99, 117, 136]
[105, 123, 141]
[117, 134, 151]
[125, 140, 156]
[129, 143, 159]
[129, 141, 156]
[127, 137, 152]
[124, 132, 147]
[122, 130, 145]
[114, 122, 137]
[104, 113, 129]
[99, 107, 122]
[97, 104, 119]
[106, 114, 125]
[118, 124, 132]
[131, 138, 142]
[141, 148, 149]
[219, 226, 222]
[216, 224, 222]
[209, 219, 220]
[202, 213, 216]
[198, 209, 213]
[196, 206, 211]
[196, 205, 210]
[197, 204, 209]
[199, 205, 211]
[196, 203, 211]
[184, 192, 203]
[172, 182, 198]
[150, 161, 182]
[128, 140, 162]
[118, 129, 152]
[118, 127, 147]
[137, 144, 161]
[155, 161, 172]
[172, 176, 183]
[181, 187, 191]
[185, 192, 197]
[180, 188, 194]
[171, 179, 187]
[161, 170, 182]
[151, 160, 177]
[145, 153, 173]
[139, 148, 171]
[132, 143, 168]
[122, 135, 160]
[112, 128, 152]
[98, 117, 138]
[89, 107, 128]
[91, 109, 129]
[95, 112, 132]
[103, 120, 139]
[113, 128, 146]
[124, 137, 154]
[128, 140, 156]
[132, 143, 158]
[133, 142, 158]
[130, 138, 153]
[126, 133, 148]
[118, 126, 140]
[110, 120, 135]
[100, 109, 124]
[96, 104, 119]
[105, 114, 125]
[117, 124, 132]
[133, 139, 142]
[143, 149, 151]
[220, 228, 225]
[216, 226, 224]
[209, 220, 221]
[205, 216, 220]
[198, 209, 214]
[196, 207, 212]
[192, 202, 208]
[193, 202, 208]
[194, 202, 208]
[192, 200, 208]
[181, 191, 202]
[167, 179, 195]
[146, 158, 178]
[124, 137, 160]
[117, 128, 151]
[112, 121, 142]
[132, 139, 155]
[151, 156, 167]
[168, 173, 180]
[179, 186, 191]
[182, 191, 195]
[173, 183, 188]
[166, 176, 184]
[160, 169, 182]
[150, 158, 174]
[144, 152, 172]
[139, 147, 170]
[131, 141, 164]
[128, 140, 164]
[116, 131, 154]
[103, 120, 142]
[93, 111, 133]
[92, 110, 131]
[92, 109, 130]
[102, 117, 137]
[109, 122, 141]
[121, 133, 150]
[129, 140, 156]
[133, 143, 158]
[135, 144, 158]
[135, 142, 156]
[130, 137, 152]
[123, 132, 146]
[116, 125, 140]
[105, 115, 130]
[102, 112, 127]
[106, 115, 127]
[115, 122, 131]
[133, 139, 143]
[140, 145, 148]
[220, 230, 228]
[216, 228, 228]
[211, 224, 226]
[208, 220, 225]
[198, 210, 216]
[195, 206, 213]
[191, 202, 208]
[191, 201, 207]
[190, 200, 207]
[188, 199, 207]
[176, 189, 200]
[163, 176, 191]
[144, 157, 178]
[121, 134, 157]
[110, 121, 145]
[108, 116, 137]
[128, 133, 151]
[144, 149, 161]
[162, 168, 176]
[176, 185, 188]
[175, 186, 190]
[171, 182, 188]
[164, 176, 184]
[158, 168, 181]
[150, 158, 176]
[144, 152, 173]
[139, 147, 169]
[131, 141, 163]
[129, 142, 164]
[120, 136, 157]
[107, 125, 147]
[101, 119, 140]
[94, 111, 133]
[93, 109, 129]
[98, 111, 132]
[108, 119, 137]
[118, 127, 144]
[128, 137, 153]
[134, 143, 158]
[135, 145, 158]
[137, 145, 158]
[136, 144, 157]
[130, 138, 152]
[120, 129, 143]
[113, 122, 137]
[108, 119, 133]
[106, 116, 129]
[114, 122, 131]
[129, 135, 141]
[138, 142, 146]
[216, 229, 230]
[211, 227, 230]
[209, 223, 228]
[202, 216, 224]
[197, 211, 219]
[196, 208, 217]
[191, 203, 211]
[187, 200, 207]
[187, 200, 206]
[183, 195, 204]
[171, 186, 197]
[156, 172, 188]
[141, 155, 177]
[121, 135, 159]
[105, 116, 140]
[107, 115, 137]
[127, 133, 150]
[143, 148, 161]
[156, 164, 171]
[168, 178, 181]
[172, 184, 188]
[167, 179, 185]
[163, 174, 184]
[156, 166, 179]
[150, 159, 176]
[146, 154, 174]
[139, 147, 168]
[133, 144, 165]
[128, 142, 164]
